Metric,Description,client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
metric,synthetic test,2,0,0,1765331865930,1765331865935,5,0,1.6,0.0,1600.0
metric,synthetic test,2,1,1,1765331865981,1765331865985,4,50,2.68,14.9,62.38
metric,synthetic test,2,2,2,1765331866032,1765331866037,5,52,1.63,4.5,46.84
metric,synthetic test,2,3,3,1765331866083,1765331866083,0,46,0.55,21.1,41.79
metric,synthetic test,2,4,4,1765331866133,1765331866135,2,52,3.5,21.6,39.29
metric,synthetic test,2,5,5,1765331866184,1765331866185,1,50,4.42,0.0,37.79
metric,synthetic test,2,6,6,1765331866234,1765331866237,3,52,0.98,12.5,36.76
metric,synthetic test,2,7,7,1765331866285,1765331866288,3,51,0.99,3.9,36.02
metric,synthetic test,2,8,8,1765331866336,1765331866341,5,53,2.28,5.6,35.36
metric,synthetic test,2,9,9,1765331866388,1765331866390,2,49,4.55,7.0,34.9
metric,synthetic test,2,10,10,1765331866439,1765331866439,0,49,1.33,5.8,34.52
metric,synthetic test,2,11,11,1765331866490,1765331866495,5,56,4.99,8.2,34.24
metric,synthetic test,2,12,12,1765331866541,1765331866542,1,47,0.74,2.0,34.02
metric,synthetic test,2,13,13,1765331866592,1765331866594,2,52,4.01,8.8,33.82
metric,synthetic test,2,14,14,1765331866642,1765331866644,2,50,2.5,14.6,33.66
metric,synthetic test,2,15,15,1765331866693,1765331866696,3,52,2.58,0.0,33.52
metric,synthetic test,2,16,16,1765331866744,1765331866747,3,51,3.2,14.3,33.38
metric,synthetic test,2,17,17,1765331866795,1765331866797,2,50,2.21,9.3,33.27
metric,synthetic test,2,18,18,1765331866846,1765331866850,4,53,4.22,5.9,33.17
metric,synthetic test,2,19,19,1765331866897,1765331866899,2,49,1.32,1.7,33.07
metric,synthetic test,2,20,20,1765331866948,1765331866952,4,53,2.71,0.0,32.99
metric,synthetic test,2,21,21,1765331866999,1765331867003,4,51,2.75,2.0,32.91
metric,synthetic test,2,22,22,1765331867050,1765331867052,2,49,2.56,13.1,32.75
metric,synthetic test,2,23,23,1765331867104,1765331867106,2,54,4.44,16.4,32.7
metric,synthetic test,2,24,24,1765331867155,1765331867156,1,50,1.74,24.5,32.59
metric,synthetic test,2,25,25,1765331867208,1765331867209,1,53,2.69,34.7,32.54
metric,synthetic test,2,26,26,1765331867259,1765331867262,3,53,3.73,10.5,32.5
metric,synthetic test,2,27,27,1765331867310,1765331867313,3,51,1.64,11.1,32.46
metric,synthetic test,2,28,28,1765331867360,1765331867362,2,49,3.52,19.0,32.4
metric,synthetic test,2,29,29,1765331867412,1765331867412,0,50,4.44,1.7,32.37
metric,synthetic test,2,30,30,1765331867464,1765331867469,5,57,4.29,0.0,32.33
metric,synthetic test,2,31,31,1765331867514,1765331867514,0,45,0.74,2.1,32.31
metric,synthetic test,2,32,32,1765331867565,1765331867566,1,52,1.01,3.8,32.28
metric,synthetic test,2,33,33,1765331867616,1765331867621,5,55,2.32,5.2,32.24
metric,synthetic test,2,34,34,1765331867667,1765331867668,1,47,4.88,4.2,32.22
metric,synthetic test,2,35,35,1765331867719,1765331867720,1,52,0.91,19.6,32.19
metric,synthetic test,2,36,36,1765331867770,1765331867773,3,53,3.95,12.5,32.17
metric,synthetic test,2,37,37,1765331867821,1765331867826,5,53,2.54,0.0,32.13
metric,synthetic test,2,38,38,1765331867873,1765331867875,2,49,0.22,4.2,32.11
metric,synthetic test,2,39,39,1765331867924,1765331867929,5,54,4.66,1.5,32.09
metric,synthetic test,2,40,40,1765331867975,1765331867979,4,50,0.14,6.1,32.06
metric,synthetic test,2,41,41,1765331868026,1765331868028,2,49,2.06,1.7,32.04
metric,synthetic test,2,42,42,1765331868078,1765331868078,0,50,4.5,0.0,32.02
metric,synthetic test,2,43,43,1765331868129,1765331868130,1,52,1.44,10.2,32.0
metric,synthetic test,2,44,44,1765331868181,1765331868186,5,56,2.9,0.0,31.98
metric,synthetic test,2,45,45,1765331868232,1765331868233,1,47,2.01,2.0,31.95
metric,synthetic test,2,46,46,1765331868284,1765331868285,1,52,2.38,4.1,31.94
metric,synthetic test,2,47,47,1765331868336,1765331868341,5,56,2.56,1.8,31.91
metric,synthetic test,2,48,48,1765331868387,1765331868389,2,48,1.69,5.7,31.89
metric,synthetic test,2,49,49,1765331868438,1765331868438,0,49,2.81,9.1,31.88
metric,synthetic test,2,50,50,1765331868489,1765331868494,5,56,0.76,8.3,31.88
metric,synthetic test,2,51,51,1765331868540,1765331868542,2,48,1.43,0.0,31.87
metric,synthetic test,2,52,52,1765331868592,1765331868597,5,55,3.79,0.0,31.85
metric,synthetic test,2,53,53,1765331868643,1765331868646,3,49,2.54,14.3,31.84
metric,synthetic test,2,54,54,1765331868694,1765331868697,3,51,3.35,0.0,31.83
metric,synthetic test,2,55,55,1765331868745,1765331868749,4,52,4.06,2.2,31.83
metric,synthetic test,2,56,56,1765331868796,1765331868797,1,48,0.61,0.0,31.81
metric,synthetic test,2,57,57,1765331868847,1765331868848,1,51,2.91,0.0,31.8
metric,synthetic test,2,58,58,1765331868898,1765331868903,5,55,1.46,2.0,31.79
metric,synthetic test,2,59,59,1765331868950,1765331868954,4,51,0.75,1.7,31.78
metric,synthetic test,2,60,60,1765331869002,1765331869004,2,50,0.05,6.8,31.77
metric,synthetic test,2,61,61,1765331869053,1765331869056,3,52,4.69,0.0,31.76
metric,synthetic test,2,62,62,1765331869104,1765331869109,5,53,1.59,0.0,31.74
metric,synthetic test,2,63,63,1765331869156,1765331869158,2,49,0.22,1.8,31.73
metric,synthetic test,2,64,64,1765331869207,1765331869208,1,50,4.15,0.0,31.73
metric,synthetic test,2,65,65,1765331869259,1765331869260,1,52,4.88,2.0,31.72
metric,synthetic test,2,66,66,1765331869309,1765331869313,4,53,1.99,0.0,31.71
metric,synthetic test,2,67,67,1765331869362,1765331869363,1,50,1.68,1.9,31.7
metric,synthetic test,2,68,68,1765331869413,1765331869416,3,53,0.64,6.2,31.69
metric,synthetic test,2,69,69,1765331869464,1765331869465,1,49,3.36,0.0,31.69
metric,synthetic test,2,70,70,1765331869515,1765331869516,1,51,2.92,11.8,31.68
metric,synthetic test,2,71,71,1765331869566,1765331869567,1,51,4.17,3.7,31.68
metric,synthetic test,2,72,72,1765331869617,1765331869618,1,51,1.23,3.3,31.67
metric,synthetic test,2,73,73,1765331869669,1765331869670,1,52,1.52,0.0,31.66
metric,synthetic test,2,74,74,1765331869719,1765331869719,0,49,3.66,6.0,31.66
metric,synthetic test,2,75,75,1765331869770,1765331869773,3,54,0.75,5.9,31.66
metric,synthetic test,2,76,76,1765331869822,1765331869827,5,54,4.03,1.6,31.63
metric,synthetic test,2,77,77,1765331869876,1765331869878,2,51,2.49,10.9,31.62
metric,synthetic test,2,78,78,1765331869927,1765331869931,4,53,3.8,0.0,31.62
metric,synthetic test,2,79,79,1765331869979,1765331869980,1,49,4.32,5.1,31.61
metric,synthetic test,2,80,80,1765331870030,1765331870035,5,55,1.95,10.5,31.61
metric,synthetic test,2,81,81,1765331870081,1765331870083,2,48,1.52,0.0,31.6
metric,synthetic test,2,82,82,1765331870132,1765331870134,2,51,2.37,5.7,31.59
metric,synthetic test,2,83,83,1765331870184,1765331870185,1,51,2.33,0.0,31.59
metric,synthetic test,2,84,84,1765331870235,1765331870235,0,50,3.26,5.2,31.58
metric,synthetic test,2,85,85,1765331870286,1765331870286,0,51,3.31,0.0,31.58
metric,synthetic test,2,86,86,1765331870338,1765331870338,0,52,0.55,0.0,31.57
metric,synthetic test,2,87,87,1765331870390,1765331870393,3,55,4.83,2.1,31.57
metric,synthetic test,2,88,88,1765331870441,1765331870446,5,53,4.44,4.7,31.57
metric,synthetic test,2,89,89,1765331870492,1765331870496,4,50,2.67,6.1,31.56
metric,synthetic test,2,90,90,1765331870544,1765331870545,1,49,0.78,4.1,31.54
metric,synthetic test,2,91,91,1765331870597,1765331870601,4,56,0.37,5.4,31.54
metric,synthetic test,2,92,92,1765331870648,1765331870653,5,52,2.71,5.6,31.54
metric,synthetic test,2,93,93,1765331870699,1765331870701,2,48,1.25,0.0,31.54
metric,synthetic test,2,94,94,1765331870750,1765331870750,0,49,3.45,3.4,31.52
metric,synthetic test,2,95,95,1765331870803,1765331870808,5,58,3.78,2.1,31.52
metric,synthetic test,2,96,96,1765331870854,1765331870858,4,50,2.69,3.9,31.51
metric,synthetic test,2,97,97,1765331870905,1765331870909,4,51,4.2,8.3,31.51
metric,synthetic test,2,98,98,1765331870956,1765331870960,4,51,2.25,11.3,31.51
metric,synthetic test,2,99,99,1765331871007,1765331871012,5,52,2.87,16.3,31.51
metric,synthetic test,2,100,100,1765331871058,1765331871061,3,49,2.42,1.6,31.5
metric,synthetic test,2,101,101,1765331871110,1765331871110,0,49,0.68,2.0,31.5
